=== Read Test ===
Filesystem integrity check: OK
Reading 1000 files, 65536 byte blocks
Data pattern: Constant (0xAA), Verification: ON
Reading /test_121.bin... opened:  4099 us, closed:     3 us, I/O:   1888 us, total:  11146 us, speed:  5296 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_122.bin... opened:  4111 us, closed:     3 us, I/O:   1889 us, total:  11170 us, speed:  5293 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_123.bin... opened:  4069 us, closed:     3 us, I/O:   1893 us, total:  11139 us, speed:  5282 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_124.bin... opened:  4048 us, closed:     6 us, I/O:   1892 us, total:  11103 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_125.bin... opened:  6120 us, closed:     3 us, I/O:   1885 us, total:  19134 us, speed:  5305 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_126.bin... opened:  6173 us, closed:     3 us, I/O:   1887 us, total:  13195 us, speed:  5299 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_127.bin... opened:  6109 us, closed:     3 us, I/O:   1894 us, total:  13165 us, speed:  5279 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_128.bin... opened:  6087 us, closed:     3 us, I/O:   1887 us, total:  13168 us, speed:  5299 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_129.bin... opened:  6054 us, closed:     3 us, I/O:   1883 us, total:  13067 us, speed:  5310 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_130.bin... opened:  6093 us, closed:     3 us, I/O:   1887 us, total:  13181 us, speed:  5299 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_131.bin... opened:  6068 us, closed:     6 us, I/O:   1891 us, total:  13127 us, speed:  5288 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
Reading /test_132.bin... opened: 12007 us, closed:     3 us, I/O:   1892 us, total:  19067 us, speed:  5285 KB/s, CRC: OK, Pattern: OK, Size: OK (0xC61C2AA0)
